f db
1.000000000e+01 2.867551713e+01
1.258925412e+01 3.066014588e+01
1.584893192e+01 3.262003522e+01
1.995262315e+01 3.454719422e+01
2.511886432e+01 3.642797359e+01
3.162277660e+01 3.824169242e+01
3.981071706e+01 3.995965794e+01
5.011872336e+01 4.154580513e+01
6.309573445e+01 4.296061489e+01
7.943282347e+01 4.416917279e+01
1.000000000e+02 4.515138956e+01
1.258925412e+02 4.590915372e+01
1.584893192e+02 4.646566227e+01
1.995262315e+02 4.685741887e+01
2.511886432e+02 4.712410834e+01
3.162277660e+02 4.730121146e+01
3.981071706e+02 4.741678884e+01
5.011872336e+02 4.749132778e+01
6.309573445e+02 4.753902535e+01
7.943282347e+02 4.756939220e+01
1.000000000e+03 4.758866218e+01
1.258925412e+03 4.760086484e+01
1.584893192e+03 4.760858188e+01
1.995262315e+03 4.761345806e+01
2.511886432e+03 4.761653754e+01
3.162277660e+03 4.761848168e+01
3.981071706e+03 4.761970881e+01
5.011872336e+03 4.762048325e+01
6.309573445e+03 4.762097195e+01
7.943282347e+03 4.762128034e+01
1.000000000e+04 4.762147492e+01
1.258925412e+04 4.762159770e+01
1.584893192e+04 4.762167517e+01
1.995262315e+04 4.762172406e+01
2.511886432e+04 4.762175490e+01
3.162277660e+04 4.762177436e+01
3.981071706e+04 4.762178664e+01
5.011872336e+04 4.762179439e+01
6.309573445e+04 4.762179927e+01
7.943282347e+04 4.762180236e+01
1.000000000e+05 4.762180430e+01
1.258925412e+05 4.762180553e+01
1.584893192e+05 4.762180631e+01
1.995262315e+05 4.762180680e+01
2.511886432e+05 4.762180710e+01
3.162277660e+05 4.762180730e+01
3.981071706e+05 4.762180742e+01
5.011872336e+05 4.762180750e+01
6.309573445e+05 4.762180755e+01
7.943282347e+05 4.762180758e+01
1.000000000e+06 4.762180760e+01
1.258925412e+06 4.762180761e+01
1.584893192e+06 4.762180762e+01
1.995262315e+06 4.762180762e+01
2.511886432e+06 4.762180763e+01
3.162277660e+06 4.762180763e+01
3.981071706e+06 4.762180763e+01
5.011872336e+06 4.762180763e+01
6.309573445e+06 4.762180763e+01
7.943282347e+06 4.762180763e+01
1.000000000e+07 4.762180763e+01
