vin vout
0.000000000e+00 5.000000000e+00
5.000000000e-02 5.000000000e+00
1.000000000e-01 5.000000000e+00
1.500000000e-01 5.000000000e+00
2.000000000e-01 5.000000000e+00
2.500000000e-01 5.000000000e+00
3.000000000e-01 5.000000000e+00
3.500000000e-01 5.000000000e+00
4.000000000e-01 5.000000000e+00
4.500000000e-01 5.000000000e+00
5.000000000e-01 5.000000000e+00
5.500000000e-01 5.000000000e+00
6.000000000e-01 5.000000000e+00
6.500000000e-01 5.000000000e+00
7.000000000e-01 5.000000000e+00
7.500000000e-01 5.000000000e+00
8.000000000e-01 5.000000000e+00
8.500000000e-01 5.000000000e+00
9.000000000e-01 5.000000000e+00
9.500000000e-01 5.000000000e+00
1.000000000e+00 5.000000000e+00
1.050000000e+00 4.999470317e+00
1.100000000e+00 4.997844445e+00
1.150000000e+00 4.995063706e+00
1.200000000e+00 4.991064348e+00
1.250000000e+00 4.985776843e+00
1.300000000e+00 4.979125070e+00
1.350000000e+00 4.971025320e+00
1.400000000e+00 4.961385119e+00
1.450000000e+00 4.950101781e+00
1.500000000e+00 4.937060651e+00
1.550000000e+00 4.922132930e+00
1.600000000e+00 4.905172959e+00
1.650000000e+00 4.886014793e+00
1.700000000e+00 4.864467815e+00
1.750000000e+00 4.840311046e+00
1.800000000e+00 4.813285645e+00
1.850000000e+00 4.783084831e+00
1.900000000e+00 4.749340061e+00
1.950000000e+00 4.711601605e+00
2.000000000e+00 4.669310472e+00
2.050000000e+00 4.621756421e+00
2.100000000e+00 4.568012603e+00
2.150000000e+00 4.506828612e+00
2.200000000e+00 4.436444109e+00
2.250000000e+00 4.354236237e+00
2.300000000e+00 4.255973035e+00
2.350000000e+00 4.133947011e+00
2.400000000e+00 3.970814480e+00
2.450000000e+00 3.700843813e+00
2.500000000e+00 2.500000000e+00
2.550000000e+00 1.299156189e+00
2.600000000e+00 1.029185639e+00
2.650000000e+00 8.660528412e-01
2.700000000e+00 7.440269605e-01
2.750000000e+00 6.457637628e-01
2.800000000e+00 5.635558911e-01
2.850000000e+00 4.931713878e-01
2.900000000e+00 4.319873968e-01
2.950000000e+00 3.782435794e-01
3.000000000e+00 3.306895279e-01
3.050000000e+00 2.883983948e-01
3.100000000e+00 2.506599395e-01
3.150000000e+00 2.169151688e-01
3.200000000e+00 1.867143545e-01
3.250000000e+00 1.596889537e-01
3.300000000e+00 1.355321848e-01
3.350000000e+00 1.139852065e-01
3.400000000e+00 9.482704078e-02
3.450000000e+00 7.786707019e-02
3.500000000e+00 6.293934913e-02
3.550000000e+00 4.989821911e-02
3.600000000e+00 3.861488088e-02
3.650000000e+00 2.897467970e-02
3.700000000e+00 2.087493045e-02
3.750000000e+00 1.422315685e-02
3.800000000e+00 8.935652394e-03
3.850000000e+00 4.936293875e-03
3.900000000e+00 2.155555462e-03
3.950000000e+00 5.296833212e-04
4.000000000e+00 -1.065894199e-15
4.050000000e+00 -3.350682291e-25
4.100000000e+00 -5.957162237e-25
4.150000000e+00 -6.163652267e-25
4.200000000e+00 6.042641140e-25
4.250000000e+00 -6.010666057e-25
4.300000000e+00 5.831086351e-25
4.350000000e+00 -5.911928443e-25
4.400000000e+00 5.553963977e-25
4.450000000e+00 5.760716913e-25
4.500000000e+00 -5.391224406e-25
4.550000000e+00 -5.569630664e-25
4.600000000e+00 5.316051265e-25
4.650000000e+00 5.520331523e-25
4.700000000e+00 -5.026831879e-25
4.750000000e+00 -5.117746452e-25
4.800000000e+00 -5.298506386e-25
4.850000000e+00 4.870527898e-25
4.900000000e+00 4.963850321e-25
4.950000000e+00 -5.082905869e-25
5.000000000e+00 4.738971179e-25
