t v
0.000000000e+00 0.000000000e+00
5.000000000e-02 -4.999987500e-02
1.500000000e-01 -1.499981250e-01
1.742162922e-01 -1.742139459e-01
1.980365883e-01 -1.980336789e-01
2.456771805e-01 -2.456727874e-01
3.409583649e-01 -3.409491695e-01
5.315207337e-01 -5.314913503e-01
9.126454714e-01 -9.125074337e-01
1.674894947e+00 -1.674059011e+00
3.199393897e+00 -3.193582520e+00
6.248391798e+00 -6.205129582e+00
1.124839180e+01 -1.100035946e+01
1.624839180e+01 -1.552228849e+01
2.124839180e+01 -1.965857059e+01
2.624839180e+01 -2.330644101e+01
3.124839180e+01 -2.637526941e+01
3.624839180e+01 -2.878881161e+01
4.124839180e+01 -3.048710384e+01
4.624839180e+01 -3.142795249e+01
5.124839180e+01 -3.158798245e+01
5.624839180e+01 -3.096321781e+01
6.124839180e+01 -2.956918068e+01
6.624839180e+01 -2.744050552e+01
7.124839180e+01 -2.463007867e+01
7.624839180e+01 -2.120772441e+01
8.124839180e+01 -1.725847015e+01
8.624839180e+01 -1.288043403e+01
9.124839180e+01 -8.182387124e+00
9.624839180e+01 -3.281051098e+00
1.012483918e+02 1.701801726e+00
1.062483918e+02 6.642373762e+00
1.112483918e+02 1.141791788e+01
1.162483918e+02 1.590978702e+01
1.212483918e+02 2.000638194e+01
1.262483918e+02 2.360592390e+01
1.312483918e+02 2.661898328e+01
1.362483918e+02 2.897070145e+01
1.412483918e+02 3.060265065e+01
1.462483918e+02 3.147428555e+01
1.512483918e+02 3.156395062e+01
1.562483918e+02 3.086941815e+01
1.612483918e+02 2.940794363e+01
1.662483918e+02 2.721583696e+01
1.712483918e+02 2.434756043e+01
1.762483918e+02 2.087437556e+01
1.812483918e+02 1.688257267e+01
1.862483918e+02 1.247132698e+01
1.912483918e+02 7.750234659e+00
1.962483918e+02 2.836589923e+00
2.012483918e+02 -2.147529098e+00
2.062483918e+02 -7.078293358e+00
2.112483918e+02 -1.183319940e+01
2.162483918e+02 -1.629411291e+01
2.212483918e+02 -2.035020373e+01
2.262483918e+02 -2.390069944e+01
2.312483918e+02 -2.685738895e+01
2.362483918e+02 -2.914681413e+01
2.412483918e+02 -3.071209486e+01
2.462483918e+02 -3.151434219e+01
2.512483918e+02 -3.153362449e+01
2.562483918e+02 -3.076946270e+01
2.612483918e+02 -2.924084221e+01
2.662483918e+02 -2.698574117e+01
2.712483918e+02 -2.406018693e+01
2.762483918e+02 -2.053686407e+01
2.812483918e+02 -1.650330857e+01
2.862483918e+02 -1.205973298e+01
2.912483918e+02 -7.316536689e+00
2.962483918e+02 -2.391563092e+00
3.012483918e+02 2.592828222e+00
3.062483918e+02 7.512801443e+00
3.112483918e+02 1.224612121e+01
3.162483918e+02 1.667518952e+01
3.212483918e+02 2.068996741e+01
3.262483918e+02 2.419070884e+01
3.312483918e+02 2.709043887e+01
3.362483918e+02 2.931711452e+01
3.412483918e+02 3.081541465e+01
3.462483918e+02 3.154811442e+01
3.512483918e+02 3.149701010e+01
3.562483918e+02 3.066337138e+01
3.612483918e+02 2.906790976e+01
3.662483918e+02 2.675026404e+01
3.712483918e+02 2.376801549e+01
3.762483918e+02 2.019525725e+01
3.812483918e+02 1.612075348e+01
3.862483918e+02 1.164573409e+01
3.912483918e+02 6.881379698e+00
3.962483918e+02 1.946059349e+00
4.012483918e+02 -3.037610299e+00
4.062483918e+02 -7.945811369e+00
4.112483918e+02 -1.265660098e+01
4.162483918e+02 -1.705294087e+01
4.212483918e+02 -2.102560521e+01
4.262483918e+02 -2.447589427e+01
4.312483918e+02 -2.731808658e+01
4.362483918e+02 -2.948156866e+01
4.412483918e+02 -3.091258941e+01
4.462483918e+02 -3.157559552e+01
4.512483918e+02 -3.145411478e+01
4.562483918e+02 -3.055116534e+01
4.612483918e+02 -2.888918075e+01
4.662483918e+02 -2.650945253e+01
4.712483918e+02 -2.347110438e+01
4.762483918e+02 -1.984962320e+01
4.812483918e+02 -1.573498367e+01
4.862483918e+02 -1.122941288e+01
4.912483918e+02 -6.444850462e+00
4.962483918e+02 -1.500167535e+00
5.012483918e+02 3.481786635e+00
5.062483918e+02 8.377236789e+00
5.112483918e+02 1.306455684e+01
5.162483918e+02 1.742729162e+01
5.212483918e+02 2.135705022e+01
5.262483918e+02 2.475619887e+01
5.312483918e+02 2.754028668e+01
5.362483918e+02 2.964014376e+01
5.412483918e+02 3.100359976e+01
5.462483918e+02 3.159677999e+01
5.512483918e+02 3.140494705e+01
5.562483918e+02 3.043286698e+01
5.612483918e+02 2.870469083e+01
5.662483918e+02 2.626335467e+01
5.712483918e+02 2.316951280e+01
5.762483918e+02 1.950003085e+01
5.812483918e+02 1.534607610e+01
5.862483918e+02 1.081085237e+01
5.912483918e+02 6.007036033e+00
5.962483918e+02 1.053976567e+00
6.000000000e+02 -2.689768065e+00
