t v
0.000000000e+00 -0.000000000e+00
1.000000000e-06 9.999990000e-07
1.010000000e-04 1.009899000e-04
3.010000000e-04 3.009297141e-04
7.010000000e-04 7.007293822e-04
1.501000000e-03 1.499849151e-03
3.101000000e-03 3.096172334e-03
6.301000000e-03 6.281168588e-03
1.270100000e-02 1.262068266e-02
2.270100000e-02 2.244535249e-02
3.270100000e-02 3.217226440e-02
4.270100000e-02 4.180239113e-02
5.270100000e-02 5.133669569e-02
6.270100000e-02 6.077613156e-02
7.270100000e-02 7.012164268e-02
8.270100000e-02 7.937416365e-02
9.270100000e-02 8.853461974e-02
1.027010000e-01 9.760392700e-02
1.127010000e-01 1.065829924e-01
1.227010000e-01 1.154727139e-01
1.327010000e-01 1.242739804e-01
1.427010000e-01 1.329876721e-01
1.527010000e-01 1.416146605e-01
1.627010000e-01 1.501558081e-01
1.727010000e-01 1.586119692e-01
1.827010000e-01 1.669839895e-01
1.927010000e-01 1.752727060e-01
2.027010000e-01 1.834789477e-01
2.127010000e-01 1.916035353e-01
2.227010000e-01 1.996472812e-01
2.327010000e-01 2.076109899e-01
2.427010000e-01 2.154954576e-01
2.527010000e-01 2.233014730e-01
2.627010000e-01 2.310298165e-01
2.727010000e-01 2.386812611e-01
2.827010000e-01 2.462565720e-01
2.927010000e-01 2.537565066e-01
3.027010000e-01 2.611818150e-01
3.127010000e-01 2.685332397e-01
3.227010000e-01 2.758115159e-01
3.327010000e-01 2.830173715e-01
3.427010000e-01 2.901515270e-01
3.527010000e-01 2.972146959e-01
3.627010000e-01 3.042075845e-01
3.727010000e-01 3.111308921e-01
3.827010000e-01 3.179853111e-01
3.927010000e-01 3.247715269e-01
4.027010000e-01 3.314902182e-01
4.127010000e-01 3.381420568e-01
4.227010000e-01 3.447277080e-01
4.327010000e-01 3.512478303e-01
4.427010000e-01 3.577030757e-01
4.527010000e-01 3.640940899e-01
4.627010000e-01 3.704215119e-01
4.727010000e-01 3.766859745e-01
4.827010000e-01 3.828881041e-01
4.927010000e-01 3.890285209e-01
5.027010000e-01 3.951078391e-01
5.127010000e-01 4.011266666e-01
5.227010000e-01 4.070856053e-01
5.327010000e-01 4.129852510e-01
5.427010000e-01 4.188261938e-01
5.527010000e-01 4.246090177e-01
5.627010000e-01 4.303343011e-01
5.727010000e-01 4.360026165e-01
5.827010000e-01 4.416145308e-01
5.927010000e-01 4.471706051e-01
6.027010000e-01 4.526713951e-01
6.127010000e-01 4.581174509e-01
6.227010000e-01 4.635093170e-01
6.327010000e-01 4.688475328e-01
6.427010000e-01 4.741326320e-01
6.527010000e-01 4.793651431e-01
6.627010000e-01 4.845455894e-01
6.727010000e-01 4.896744890e-01
6.827010000e-01 4.947523548e-01
6.927010000e-01 4.997796946e-01
7.027010000e-01 5.047570110e-01
7.127010000e-01 5.096848020e-01
7.227010000e-01 5.145635602e-01
7.327010000e-01 5.193937735e-01
7.427010000e-01 5.241759250e-01
7.527010000e-01 5.289104929e-01
7.627010000e-01 5.335979507e-01
7.727010000e-01 5.382387671e-01
7.827010000e-01 5.428334062e-01
7.927010000e-01 5.473823276e-01
8.027010000e-01 5.518859860e-01
8.127010000e-01 5.563448319e-01
8.227010000e-01 5.607593112e-01
8.327010000e-01 5.651298653e-01
8.427010000e-01 5.694569313e-01
8.527010000e-01 5.737409420e-01
8.627010000e-01 5.779823256e-01
8.727010000e-01 5.821815065e-01
8.827010000e-01 5.863389044e-01
8.927010000e-01 5.904549352e-01
9.027010000e-01 5.945300105e-01
9.127010000e-01 5.985645377e-01
9.227010000e-01 6.025589204e-01
9.327010000e-01 6.065135581e-01
9.427010000e-01 6.104288460e-01
9.527010000e-01 6.143051759e-01
9.627010000e-01 6.181429354e-01
9.727010000e-01 6.219425082e-01
9.827010000e-01 6.257042742e-01
9.927010000e-01 6.294286098e-01
1.002701000e+00 6.331158873e-01
1.012701000e+00 6.367664755e-01
1.022701000e+00 6.403807394e-01
1.032701000e+00 6.439590405e-01
1.042701000e+00 6.475017367e-01
1.052701000e+00 6.510091821e-01
1.062701000e+00 6.544817275e-01
1.072701000e+00 6.579197203e-01
1.082701000e+00 6.613235042e-01
1.092701000e+00 6.646934195e-01
1.102701000e+00 6.680298034e-01
1.112701000e+00 6.713329895e-01
1.122701000e+00 6.746033080e-01
1.132701000e+00 6.778410860e-01
1.142701000e+00 6.810466473e-01
1.152701000e+00 6.842203125e-01
1.162701000e+00 6.873623990e-01
1.172701000e+00 6.904732209e-01
1.182701000e+00 6.935530893e-01
1.192701000e+00 6.966023123e-01
1.202701000e+00 6.996211948e-01
1.212701000e+00 7.026100386e-01
1.222701000e+00 7.055691427e-01
1.232701000e+00 7.084988030e-01
1.242701000e+00 7.113993124e-01
1.252701000e+00 7.142709610e-01
1.262701000e+00 7.171140361e-01
1.272701000e+00 7.199288218e-01
1.282701000e+00 7.227155997e-01
1.292701000e+00 7.254746484e-01
1.302701000e+00 7.282062440e-01
1.312701000e+00 7.309106594e-01
1.322701000e+00 7.335881653e-01
1.332701000e+00 7.362390293e-01
1.342701000e+00 7.388635166e-01
1.352701000e+00 7.414618896e-01
1.362701000e+00 7.440344081e-01
1.372701000e+00 7.465813294e-01
1.382701000e+00 7.491029082e-01
1.392701000e+00 7.515993967e-01
1.402701000e+00 7.540710445e-01
1.412701000e+00 7.565180988e-01
1.422701000e+00 7.589408043e-01
1.432701000e+00 7.613394032e-01
1.442701000e+00 7.637141355e-01
1.452701000e+00 7.660652387e-01
1.462701000e+00 7.683929477e-01
1.472701000e+00 7.706974955e-01
1.482701000e+00 7.729791125e-01
1.492701000e+00 7.752380268e-01
1.502701000e+00 7.774744643e-01
1.512701000e+00 7.796886487e-01
1.522701000e+00 7.818808015e-01
1.532701000e+00 7.840511418e-01
1.542701000e+00 7.861998866e-01
1.552701000e+00 7.883272509e-01
1.562701000e+00 7.904334475e-01
1.572701000e+00 7.925186868e-01
1.582701000e+00 7.945831775e-01
1.592701000e+00 7.966271259e-01
1.602701000e+00 7.986507366e-01
1.612701000e+00 8.006542119e-01
1.622701000e+00 8.026377521e-01
1.632701000e+00 8.046015555e-01
1.642701000e+00 8.065458187e-01
1.652701000e+00 8.084707359e-01
1.662701000e+00 8.103764997e-01
