t v
0.000000000e+00 2.500000000e+00
1.000000000e-02 2.500006356e+00
3.000000000e-02 2.500044427e+00
7.000000000e-02 2.500171166e+00
1.500000000e-01 2.500726738e+00
3.100000000e-01 2.503031882e+00
6.300000000e-01 2.512309800e+00
1.000000000e+00 2.530573884e+00
1.010000000e+00 2.531174175e+00
1.030000000e+00 2.532372090e+00
1.070000000e+00 2.534762624e+00
1.150000000e+00 2.539512337e+00
1.310000000e+00 2.548890437e+00
1.630000000e+00 2.567191875e+00
2.270000000e+00 2.602188159e+00
3.270000000e+00 2.653318053e+00
4.270000000e+00 2.700933439e+00
5.270000000e+00 2.745641963e+00
6.270000000e+00 2.787658807e+00
7.270000000e+00 2.826885789e+00
8.270000000e+00 2.862971545e+00
9.270000000e+00 2.895358412e+00
1.027000000e+01 2.923320197e+00
1.127000000e+01 2.945994000e+00
1.227000000e+01 2.962408443e+00
1.327000000e+01 2.971510069e+00
1.427000000e+01 2.972189246e+00
1.527000000e+01 2.963310765e+00
1.627000000e+01 2.943681943e+00
1.727000000e+01 2.912070145e+00
1.827000000e+01 2.867403135e+00
1.927000000e+01 2.808924789e+00
2.027000000e+01 2.736232782e+00
2.100000000e+01 2.674151362e+00
2.101000000e+01 2.673241269e+00
2.103000000e+01 2.671390090e+00
2.107000000e+01 2.667625875e+00
2.115000000e+01 2.659727880e+00
2.131000000e+01 2.642469027e+00
2.163000000e+01 2.602217344e+00
2.200000000e+01 2.546389348e+00
2.201000000e+01 2.544747314e+00
2.203000000e+01 2.541460623e+00
2.207000000e+01 2.534882059e+00
2.215000000e+01 2.521694296e+00
2.231000000e+01 2.495200937e+00
2.263000000e+01 2.441782999e+00
2.327000000e+01 2.333576191e+00
2.427000000e+01 2.162565443e+00
2.527000000e+01 1.991932035e+00
2.627000000e+01 1.824973807e+00
2.727000000e+01 1.664640035e+00
2.827000000e+01 1.513270268e+00
2.927000000e+01 1.372401566e+00
3.027000000e+01 1.242754411e+00
3.127000000e+01 1.123875800e+00
3.227000000e+01 1.014253967e+00
3.327000000e+01 9.122103992e-01
3.427000000e+01 8.163078955e-01
3.527000000e+01 7.258279515e-01
3.627000000e+01 6.410430221e-01
3.727000000e+01 5.628850237e-01
3.827000000e+01 4.927754806e-01
3.927000000e+01 4.326490404e-01
4.027000000e+01 3.849679665e-01
4.127000000e+01 3.531858044e-01
4.227000000e+01 3.417752381e-01
4.327000000e+01 3.552225068e-01
4.427000000e+01 3.974249066e-01
4.527000000e+01 4.716980118e-01
4.627000000e+01 5.808999237e-01
4.727000000e+01 7.258989758e-01
4.827000000e+01 9.041921146e-01
4.927000000e+01 1.111718861e+00
5.027000000e+01 1.344275181e+00
5.127000000e+01 1.597858101e+00
5.227000000e+01 1.868822209e+00
5.327000000e+01 2.150932130e+00
5.427000000e+01 2.434802883e+00
5.527000000e+01 2.711318668e+00
5.627000000e+01 2.973116749e+00
5.727000000e+01 3.214712645e+00
5.827000000e+01 3.432452461e+00
5.927000000e+01 3.624345975e+00
6.027000000e+01 3.790386100e+00
6.127000000e+01 3.932286633e+00
6.227000000e+01 4.052399248e+00
6.327000000e+01 4.153477369e+00
6.427000000e+01 4.238572105e+00
6.527000000e+01 4.310792251e+00
6.597129522e+01 4.355599355e+00
6.642298629e+01 4.382685413e+00
6.671319571e+01 4.399541925e+00
6.699552102e+01 4.415617727e+00
6.728564420e+01 4.431867391e+00
6.760953143e+01 4.449752636e+00
